Cruise,Station,Latitude ,Longitude,CTDPRS [DBARS],CTDTMP [ITS-90],SALNTY [PSS-78],TALK [UMOL/KG],pH [UMOL/KG],TCO2 in (mmol/kgSW),NO2+NO3 [umol/kg],PO4 [UMOL/KG],SiO2 [umol/kg],Ar,,,,,,
RFI,278,62.1467,322.77829,103.327,5.9641,35.026,2303.28,8.022,2010.7,15.18,1.02,6.95,1.68,,,,,,
RFI,280,61.4502,323.9982,2.511,7.8676,34.8651,2317.6899,8.102,1976.3,7.8,0.51,1.06,2.15,,,,,,
RFI,280,61.4502,323.9982,9.909,7.7467,34.8618,2315.3501,8.104,1973,7.92,0.55,1.33,2.14,,,,,,
RFI,280,61.4502,323.9982,20.246,7.4904,34.8592,2320.4199,8.091,1985.8,8.52,0.6,2.64,2.07,,,,,,
RFI,280,61.4502,323.9982,50.151,5.6004,34.9298,2319.73,8.043,2014,12.8,0.97,6.83,1.75,,,,,,
RFI,280,61.4502,323.9982,99.911,4.8969,34.919,2317.24,8.029,2020.2,14.99,1.05,7.41,1.65,,,,,,
RFI,282,61.4517,321.84351,1.756,7.9681,34.869,2313.1499,8.077,1987.9,8.63,0.59,4.02,2.06,,,,,,
RFI,282,61.4517,321.84351,9.834,7.98,34.863,2314.3101,8.08,1987.1,8.59,0.6,4.01,2.07,,,,,,
RFI,282,61.4517,321.84351,20.69,6.9459,34.881,2313.8301,8.08,1986.6,9.34,0.66,4.64,1.99,,,,,,
RFI,282,61.4517,321.84351,49.707,5.795,34.942,2316.45,8.042,2011.6,13.18,0.94,6.75,1.77,,,,,,
RFI,282,61.4517,321.84351,101,5.1956,34.962,2314.0601,8.034,2014,15.13,1.04,7.17,2.08,,,,,,
RFI,285,61.4386,319.54999,1.399,7.1468,34.944,2316.47,8.097,1977.8,9.09,0.61,0.5,2.08,,,,,,
RFI,285,61.4386,319.54999,9.872,7.1174,34.944,2319.1299,8.096,1980.8,9.07,0.64,0.41,2.03,,,,,,
RFI,285,61.4386,319.54999,20.54,6.8677,34.95,2320.1299,8.088,1986.7,9.79,0.72,0.91,1.85,,,,,,
RFI,285,61.4386,319.54999,50.367,6.3313,34.993,2330.6899,8.051,2018.7,,,,1.83,,,,,,
RFI,285,61.4386,319.54999,50.367,6.3313,34.993,2307.8101,8.051,1998,11.94,0.84,3.6,,,,,,,
RFI,285,61.4386,319.54999,101.734,6.2373,35.029,2325.9199,8.028,2027.8,13.81,0.98,5.8,1.75,,,,,,
RFI,286,60.5989,318.99631,2,7.6722,34.924,2315.8999,8.089,1982.5,8.37,0.63,1.58,2.09,,,,,,
RFI,286,60.5989,318.99631,9.646,7.6598,34.949,2315.4299,8.09,1981.2,7.69,0.63,1.63,2.09,,,,,,
RFI,286,60.5989,318.99631,17.599,7.4381,34.976,2315.8799,8.092,1980.1,8.18,0.61,1.46,2.08,,,,,,
RFI,286,60.5989,318.99631,50.229,6.6362,35.001,2322.48,8.08,1993.4,9.87,0.89,1.92,1.97,,,,,,
RFI,286,60.5989,318.99631,100.977,6.0175,34.952,2320.76,8.041,2016,13.12,0.95,5.23,1.76,,,,,,
RFI,288,61.0032,320.85559,1.803,7.9258,34.834,2315.51,8.093,1980.3,7.75,0.51,2.62,2.12,,,,,,
RFI,288,61.0032,320.85559,10.022,7.9323,34.832,2313.9199,8.094,1978.3,7.76,0.51,2.6,2.12,,,,,,
RFI,288,61.0032,320.85559,20.297,7.4483,34.827,2303.3899,8.105,1962,7.39,0.5,2.15,2.12,,,,,,
RFI,288,61.0032,320.85559,50.743,5.4879,34.943,2321.04,8.039,2017.5,13.64,0.96,6.8,1.74,,,,,,
RFI,288,61.0032,320.85559,101.063,4.9352,34.951,2313.1799,8.034,2013.3,15.5,1.06,7.38,1.67,,,,,,
RFI,291,60.5997,323.40649,2.432,7.7826,34.856,2310.98,8.106,1967.9,7.13,0.44,2.14,2.16,,,,,,
RFI,291,60.5997,323.40649,10.596,7.7804,34.855,2308.3,8.109,1963.6,7.14,0.45,2.08,2.15,,,,,,
RFI,291,60.5997,323.40649,20.877,7.7279,34.849,2312.1599,8.109,1967.1,7.3,0.48,1.31,2.17,,,,,,
RFI,291,60.5997,323.40649,51.282,5.143,34.924,2317,8.051,2006.8,13.29,0.91,6.31,1.97,,,,,,
RFI,291,60.5997,323.40649,100.804,4.7916,34.908,2315.4299,8.034,2015.6,14.56,1.05,7.37,1.72,,,,,,
RFI,292,60.1534,323.40439,10.103,7.5905,34.914,2318.29,8.15,1945.3,5.04,0.34,0,1.87,,,,,,
RFI,292,60.1534,323.40439,20.65,7.5895,34.913,2317.8601,8.149,1945.6,5.21,0.37,0,2.34,,,,,,
RFI,292,60.1534,323.40439,50.618,6.144,34.922,2316.77,8.172,1929.1,5.6,0.35,0,2.21,,,,,,
RFI,292,60.1534,323.40439,102.341,5.5589,34.962,2316.22,8.055,2003.4,12.4,0.93,5.95,2.25,,,,,,
RFI,292,60.1534,323.40439,102.341,5.5589,34.962,2315.6299,8.052,2004.7,15.74,1.09,7.64,1.79,,,,,,
RFI,294,60.151,320.97742,1.453,7.208,34.843,2312.6599,8.124,1957.9,6.24,0.37,0.09,1.9,,,,,,
RFI,294,60.151,320.97742,11.292,7.2095,34.842,2311.01,8.126,1955.2,6.25,0.37,0.28,2.19,,,,,,
RFI,294,60.151,320.97742,21.324,7.2084,34.836,2313.1899,8.114,1964.9,6.61,0.4,0.56,2.2,,,,,,
RFI,294,60.151,320.97742,51.333,5.0705,34.91,2315.9099,8.028,2019.6,14.01,0.98,7.05,1.98,,,,,,
RFI,294,60.151,320.97742,101.807,5.0219,34.964,2316.51,8.026,2020.9,15.16,1.05,7.31,1.66,,,,,,
RFI,297,60.1508,318.69839,1.834,7.1014,34.91,2315.8601,8.097,1977.5,8.29,0.59,0.84,2.08,,,,,,
RFI,297,60.1508,318.69839,10.48,7.0911,34.911,2318.05,8.094,1981.4,8.83,0.63,0.98,2.05,,,,,,
RFI,297,60.1508,318.69839,20.512,6.9818,34.937,2316.5901,8.092,1981.1,9.18,0.62,1.35,1.97,,,,,,
RFI,297,60.1508,318.69839,50.324,6.0261,34.962,2320.53,8.065,2001.2,11.07,0.84,3.59,1.82,,,,,,
RFI,297,60.1508,318.69839,100.933,5.5267,34.98,2317.71,8.025,2022.5,14.46,1.01,6.52,1.41,,,,,,
RFI,298,59.3022,317.9476,4.279,1.6864,32.7487,2194.02,8.209,1816.2,4.02,0.41,0.58,1.93,,,,,,
RFI,298,59.3022,317.9476,10.259,1.6821,32.7617,2210.4299,8.198,1837.6,4.79,0.46,0.86,1.9,,,,,,
RFI,298,59.3022,317.9476,20.347,4.5627,34.203,2291.03,8.097,1961,9.17,0.74,2.37,2.28,,,,,,
RFI,298,59.3022,317.9476,50.061,6.1668,34.948,2315.9299,8.065,1997.1,10.73,0.78,2.74,2.41,,,,,,
RFI,298,59.3022,317.9476,99.955,5.7388,34.936,2318.5,8.052,2007.5,12.12,0.9,4.05,1.95,,,,,,
RFI,300,59.2997,319.80341,2.753,6.763,34.882,2320.76,8.19,1920.6,4.37,0.45,2.25,1.93,,,,,,
RFI,300,59.2997,319.80341,9.0752,6.7597,34.883,2321.45,8.19,1921.2,4.39,0.42,2.26,1.88,,,,,,
